PARAM,HX,HY,JX,JA,LP,LD,VS,VO,WC,TCX,TCY,TTX,TTY,TBX,TBY,TRX,TRY,TS1,TS2,TS3,TS4,MA1,MA2,MA3
a,0.2629,-4.2577,0,-4.3532,0.0994,1.0595,1,0.05,0,-0.1154,-1.9006,4.2457,-1.6323,3.0737,-0.6857,-2.7656,-3.1259,1.336,-0.176,0.638,0.1,-0.05,-0.05,-0.05
i,1,-5.3436,-0.25,-2.4308,-0.041,0.8251,0.4,-0.1,0,2.5295,-0.5805,4.6583,-0.8915,3.725,0.821,-0.0541,-0.928,1.116,0.119,-0.165,-0.524,0,0,0
u,1,-6,0,-4.0217,0.95,0.2233,0.5347,-0.1,0,0.4343,-0.9421,2.5891,-0.694,2.4431,0.3572,-0.3843,-2.6691,1.4,0.212,0.128,-0.05,-0.05,-0.05,-0.05
e,0.717,-4.0816,0,-3.2479,-0.1589,0.9239,1,-0.1,0,2.3731,-0.7565,4.3728,-1.1341,3.5,0.7136,-1.1427,-1.058,1.096,1.374,0.068,0,-0.05,-0.05,-0.05
E,0.2217,-4.4025,0,-4.4901,0.0897,0.9976,1,0.01,0,1.4643,-2.1779,4.6082,-1.2813,2.5695,0.1015,-1.9758,-2.1779,0.346,0.262,1.09,-0.042,-0.05,-0.05,-0.05
o,0.6314,-5.3026,0,-6.3288,0.7435,0.1846,0.503,-0.01,0,-0.1834,-1.0274,2.3269,-1.2931,1.9694,-0.0949,-1.0859,-3.1824,0.806,-0.392,0.05,0,-0.05,-0.05,-0.05
@,0.6259,-4.8156,0,-4.5786,0.1703,0.6552,0.1709,0.02,0,1.3537,-2.0142,4.7569,-0.969,3.2925,-0.0516,-1.9691,-2.0142,0.752,0.496,0.95,0.206,-0.05,-0.05,-0.05
9,0.0828,-5.2489,-0.1,-4.9272,0.4879,0.4704,0.3,-0.1,0,0.2443,-2.3406,4.769,-1.3831,2.449,-0.6589,-1.9963,-2.827,0.224,0.734,1.4,0.46,-0.05,-0.05,-0.05
O,0.3404,-5.0757,0,-5.0957,0.4382,0.4659,0.8572,-0.1,0,-0.4554,-1.8116,4.0587,-1.7142,2.4237,-1.3512,-2.014,-3.4084,-0.068,0.42,0.252,0.274,-0.05,-0.05,-0.05
