Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Validate Loss,Validate RMSE,Validate R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,EarlyStop At,EarlyStopPatience,Learning rate,Batch size,Epochs,Loss function,Optimizer,Label mode,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
120,True,2020-April-01 01:16,ta/m_dataset_p2/prep_data_13,baseline,0.12573099520864214,0.349632796496438,0.5006877934430436,0.1209327598033749,0.3423431843567188,0.5164771137705986,0.12064666099127558,0.3419413520360529,0.5202765534612253,0.4058226644992829,0.5173701840249509,44.85378122329712,20,10,0.001,64,200,mse,Adam,5,3.0,"(53069, 23, 39)","(53069, 17)",,
121,True,2020-April-01 01:20,ta/m_dataset_p2/prep_data_13,FCNN,0.050711207615689334,0.2228151898590736,0.800521983586802,0.04797574337144818,0.2168901893296145,0.8107307580672389,0.04709252726832919,0.2148517655470628,0.8155121208021561,0.2873329520225525,0.7462523849919859,205.0981752872467,43,10,0.001,64,200,mse,Adam,5,3.0,"(53069, 23, 39)","(53069, 17)",,
122,True,2020-April-01 01:31,ta/m_dataset_p2/prep_data_13,bilstm,0.014816449320681872,0.12035161232765575,0.9410682214328212,0.019695657258416245,0.13812147470354244,0.9203962426597204,0.019764826013969585,0.1383770023570922,0.9206074364667391,0.20522989332675934,0.8404130359016699,636.8399817943572,37,10,0.001,64,200,mse,Adam,5,3.0,"(53069, 23, 39)","(53069, 17)",,
123,True,2020-April-01 01:46,ta/m_dataset_p2/prep_data_13,LTRCNN,0.026115344481654285,0.13857627155128835,0.9209619368762538,0.0268179815417896,0.14048945058830714,0.9175760729014056,0.026767601698274742,0.14035800995625292,0.9181681323662368,0.19337409734725952,0.8528009058459582,829.5411689281464,40,10,0.001,64,200,mse,Adam,5,3.0,"(53069, 23, 39)","(53069, 17)",,
124,True,2020-April-01 02:12,ta/m_dataset_p2/prep_data_13,senet,0.010045229317977524,0.09886087661309348,0.9597214250323588,0.01906427097422129,0.13533138416269413,0.9226603943567216,0.018863808447937908,0.13450265452881133,0.9243820677420548,0.18838410079479206,0.8570219137626609,1521.5654737949371,57,10,0.001,64,200,mse,Adam,5,3.0,"(53069, 23, 39)","(53069, 17)",,
125,True,2020-April-01 02:14,ta/d_dataset_p2/prep_data_13,baseline,0.13094519285266185,0.35626454195348706,0.4916815061824327,0.12041246287292312,0.3405997493766375,0.5272500868549563,0.12089193358609512,0.3412508382139016,0.5274895997106915,0.4096069931983948,0.5263231938169569,101.02721309661864,24,10,0.001,64,200,mse,Adam,5,3.0,"(102624, 24, 39)","(102624, 17)",,
126,True,2020-April-01 02:19,ta/d_dataset_p2/prep_data_13,FCNN,0.050095214969924313,0.22169977838822505,0.805762554732106,0.04499993384368172,0.2101511103609256,0.8250458439407466,0.04464676842937645,0.2093427123030028,0.8268580166370589,0.2323653846979141,0.8394075648241445,258.6766216754913,28,10,0.001,64,200,mse,Adam,5,3.0,"(102624, 24, 39)","(102624, 17)",,
128,True,2020-April-01 03:24,ta/d_dataset_p2/prep_data_13,LTRCNN,0.023007929663132903,0.12755962714272331,0.9348006583085664,0.024610674823263814,0.133110808479421,0.9276657558601586,0.024911329143086032,0.1341174829399588,0.926787066619878,0.11339245736598967,0.9616711780914012,1810.0936162471771,44,10,0.001,64,200,mse,Adam,5,3.0,"(102624, 24, 39)","(102624, 17)",,
129,True,2020-April-01 04:02,ta/d_dataset_p2/prep_data_13,senet,0.012644086824454157,0.11086859611082872,0.9508894790493791,0.01607510251159656,0.12449480267185965,0.9367260329418232,0.016364786617415184,0.1254869011154711,0.935925668904932,0.12412672489881516,0.9416710199582914,2180.9734964370728,41,10,0.001,64,200,mse,Adam,5,3.0,"(102624, 24, 39)","(102624, 17)",,
130,True,2020-April-01 05:17,ta/d_dataset_p2/prep_data_13,senet_em,0.007978104775272584,0.08838150994172875,0.9687033120614448,0.0187614997617668,0.13420617302615145,0.9262451904321162,0.01884970504299688,0.13445599805115116,0.9261352815885441,0.11545591801404953,0.948034061019572,2178.6707968711853,32,10,0.001,64,200,mse,Adam,5,3.0,"(102624, 24, 39)","(102624, 17)",,
