Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Validate Loss,Validate RMSE,Validate R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,EarlyStop At,EarlyStopPatience,Learning rate,Batch size,Epochs,Loss function,Optimizer,Label mode,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
52,True,2020-March-02 13:08,ta/d_dataset_t3_40k_c/prep_data_13_s,senet,0.02417924370781779,0.1518143603646792,0.8967508250967076,0.028286440367331887,0.16324432716609785,0.8806089059577157,0.028248772135640823,0.16292836767263447,0.8804327752169091,,,1284.0414607524872,37.0,10.0,0.001,64,100,mse,AMSgrad,5,,"(78520, 24, 39)","(78520, 17)",,
53,True,2020-March-02 13:50,ta/d_dataset_t3_40k_c/prep_data_13_s,senet,0.026326338016160945,0.1582998105969605,0.8879156251577995,0.03079690560330068,0.17007530447124647,0.870556462088165,0.03044744168387058,0.16903325405623146,0.8716729180546796,,,937.0550827980043,31.0,10.0,0.001,64,100,mse,AMSgrad,5,,"(78520, 24, 39)","(78520, 17)",,
54,True,2020-March-02 14:20,ta/d_dataset_t3_40k_c/prep_data_13_s,senet,0.02429761565288019,0.1522756679511294,0.8963537862359141,0.03305541739682937,0.1759123569765531,0.8615159794079962,0.03186063586242452,0.17274039828410864,0.8656816161391292,,,1258.4799416065214,42.0,10.0,0.001,64,100,mse,AMSgrad,5,,"(78520, 24, 39)","(78520, 17)",,
55,True,2020-March-02 14:44,ta/d_dataset_t3_40k_c/prep_data_13_s,senet,0.02343148125209373,0.1493569017265971,0.900375408541061,0.029317355217198245,0.16570622909278954,0.8768751976732214,0.028364750993452606,0.1630096620908976,0.8805591863689778,,,1134.7208688259125,31.0,10.0,0.001,64,100,mse,AMSgrad,5,,"(78520, 24, 39)","(78520, 17)",,
56,True,2020-March-02 15:21,ta/d_dataset_t3_40k_c/prep_data_13_s,senet,0.01963201477702364,0.1371907889295481,0.9158177266146578,0.0279850977077318,0.16185222848489972,0.8822969153411648,0.026862184861204282,0.15881805700100632,0.8862017084544379,,,1925.1136434078214,50.0,10.0,0.001,64,100,mse,AMSgrad,5,,"(78520, 24, 39)","(78520, 17)",,
57,True,2020-March-02 15:49,ta/d_dataset_t3_40k_c/prep_data_13_s,senet,0.02097709959755276,0.141765935971496,0.9098371441237856,0.027794433304019008,0.16161460822291507,0.8827615109901581,0.027229895115214158,0.16002035542465434,0.8844347315044002,,,1317.2624204158785,36.0,10.0,0.001,64,100,mse,AMSgrad,5,,"(78520, 24, 39)","(78520, 17)",,
58,True,2020-March-02 16:17,ta/d_dataset_t3_40k_c/prep_data_13_s,senet,0.02239558564226693,0.14659946628187664,0.9035298839184432,0.028510996628868725,0.16386043980719006,0.8792649487263867,0.027978401706532263,0.16253915552260656,0.8805733469539841,,,1463.5607416629791,40.0,10.0,0.001,64,100,mse,AMSgrad,5,,"(78520, 24, 39)","(78520, 17)",,
59,True,2020-March-02 16:53,ta/d_dataset_t3_40k_c/prep_data_13_s,senet,0.02340895943267729,0.14961788867137005,0.8999960176389573,0.030393013888672094,0.1687967235364818,0.8721812013690605,0.029124592882950218,0.1652722951657485,0.8771143869980937,,,1284.5776484012606,53.0,10.0,0.001,64,100,mse,AMSgrad,5,,"(78520, 24, 39)","(78520, 17)",,
60,True,2020-March-02 17:12,ta/d_dataset_t3_40k_c/prep_data_13_s,senet,0.02418170697641689,0.1518678554461744,0.8970601714826634,0.028509760582901618,0.1639020048734939,0.8797249273762618,0.027856309271702958,0.16211123185591708,0.8817529431680463,,,885.9779436588287,33.0,10.0,0.001,64,100,mse,AMSgrad,5,,"(78520, 24, 39)","(78520, 17)",,
61,True,2020-March-02 17:34,ta/d_dataset_t3_40k_c/prep_data_13_s,senet,0.018772822244816814,0.1345284906242845,0.9191016226271526,0.028378397247346306,0.1631417692269141,0.8805626665153761,0.027677855519870027,0.16119596906612574,0.8828096026705214,,,876.9711396694182,36.0,10.0,0.001,64,100,mse,AMSgrad,5,,"(78520, 24, 39)","(78520, 17)",,
62,True,2020-March-02 18:04,ta/d_dataset_t3_40k_c/prep_data_13_s,senet,0.014374134768421134,0.1178507204322176,0.9377083561995024,0.027132540506880264,0.1594783419547292,0.8860576197231912,0.026137732575846003,0.15680580661187785,0.8890882339147792,,,1583.3455238342285,44.0,10.0,0.001,64,100,mse,AMSgrad,5,,"(78520, 24, 39)","(78520, 17)",,
63,True,2020-March-02 22:27,ta/d_dataset_t3_40k_c/prep_data_13_s,senet,0.032409635683406816,0.17545631230470254,0.8628352345981075,0.03169880688433401,0.17313847800428506,0.8662768664159739,0.030893048475043258,0.1710006034113871,0.8691802499894782,,,2302.0935587883,1.0,10.0,0.001,64,100,mse,AMSgrad,5,,"(78520, 24, 39)","(78520, 17)",,
64,True,2020-March-02 23:05,ta/d_dataset_t3_40k_c/prep_data_13_s,senet,0.02591764917953004,0.15709341067349475,0.8897539426462204,0.0286401569992396,0.16439226028172105,0.8788026926095959,0.028160021999447025,0.16288990538242315,0.8807218792237408,,,2071.342595338821,70.0,10.0,0.001,64,100,mse,AMSgrad,5,,"(78520, 24, 39)","(78520, 17)",,
65,True,2020-March-02 23:43,ta/d_dataset_t3_40k_c/prep_data_13_s,senet,0.029064857077671445,0.16623084509204594,0.8767485236730325,0.029357060050875933,0.1667498236533866,0.875727383152987,0.028831198962361863,0.16519530485392175,0.8777285409898066,,,2066.1247005462646,90.0,10.0,0.001,64,100,mse,AMSgrad,5,,"(78520, 24, 39)","(78520, 17)",,
66,True,2020-March-03 00:33,ta/d_dataset_t3_40k_c/prep_data_13_s,senet,0.025943591005215826,0.15722020488373772,0.8894597703108209,0.0294342693304112,0.16640992319421175,0.8758678558478524,0.028419404526505505,0.1636276241253827,0.8796924118458138,,,2743.77068567276,83.0,10.0,0.001,64,1000,mse,AMSgrad,5,,"(78520, 24, 39)","(78520, 17)",,
67,True,2020-March-03 01:28,ta/d_dataset_t3_40k_c/prep_data_13_s,senet,0.036139278220685536,0.18502003633449202,0.8476868075662362,0.03429633060079042,0.17994788931679465,0.8558223267762959,0.03331221915520135,0.1774605481538278,0.85938774285089,,,3065.558771371841,92.0,10.0,0.0001,64,1000,mse,AMSgrad,5,,"(78520, 24, 39)","(78520, 17)",,
68,True,2020-March-03 09:11,ta/d_dataset_t3_40k_c/prep_data_13_noaug,senet,0.019897049918080008,0.1381850850872596,0.9149452997396283,0.024399887591086904,0.15237989967758855,0.8962202309794189,0.02376922831993381,0.1505221277847707,0.898349859324366,,,2908.3112709522247,100.0,10.0,0.001,64,1000,mse,AMSgrad,5,,"(60400, 24, 39)","(60400, 17)",,
69,True,2020-March-03 09:49,ta/d_dataset_t3_40k_c/prep_data_13,senet,0.029368562016745387,0.16708739834067932,0.8752988718228094,0.03242185533914863,0.17469018526108848,0.8635356186961252,0.032209955268684705,0.17397606255424694,0.8639182068310921,,,1735.0560173988342,35.0,10.0,0.001,64,1000,mse,AMSgrad,5,,"(105700, 24, 39)","(105700, 17)",,
70,True,2020-March-03 10:30,ta/d_dataset_t3_40k_c/prep_data_13,senet,0.02553060093279593,0.15651474769699816,0.8908956043548553,0.03285510880920677,0.17632822290822595,0.86125642752482,0.032378218725514815,0.17485188359790213,0.8630230039988354,,,2022.155920267105,46.0,10.0,0.001,64,1000,mse,AMSgrad,5,,"(105700, 24, 39)","(105700, 17)",,
71,True,2020-March-03 11:08,ta/d_dataset_t3_40k_c/prep_data_13,senet,0.030318717938357068,0.16991694423843656,0.8714691743357532,0.03530789007856035,0.1825731373024996,0.8514483041979136,0.03451340981984945,0.18033346977665435,0.8544362695902925,,,1679.5171949863434,29.0,10.0,0.001,64,1000,mse,AMSgrad,5,,"(105700, 24, 39)","(105700, 17)",,
72,True,2020-March-03 11:46,ta/d_dataset_t3_40k_c/prep_data_13,senet,0.033022604880179565,0.17700742632949168,0.8604144478452712,0.0363868542126085,0.18478269431735486,0.847762144945491,0.03615117211627677,0.18414797433455288,0.8482540172174975,,,1315.8789415359495,27.0,10.0,0.001,64,1000,mse,AMSgrad,5,,"(105700, 24, 39)","(105700, 17)",,
73,True,2020-March-03 12:55,ta/d_dataset_t3_40k_c/prep_data_13,senet,0.03127767116071034,0.17225166597844452,0.8677437218604999,0.03538908282379208,0.18198124729821386,0.8522018161366887,0.035106186108069856,0.1812391800041201,0.8527903617445469,,,1304.5418076515198,27.0,10.0,0.001,64,1000,mse,AMSgrad,5,,"(105700, 24, 39)","(105700, 17)",,
74,True,2020-March-03 14:06,ta/d_dataset_t3_40k_c/prep_data_13,senet,0.03024990714099628,0.1695985221295241,0.8713128798865201,0.030787197266506864,0.17034541919504842,0.8702307242486331,0.03052769843537865,0.16953647429164126,0.8710008514025529,,,3798.583534002304,75.0,10.0,0.001,64,1000,mse,AMSgrad,5,,"(105700, 24, 39)","(105700, 17)",,
