Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Validate Loss,Validate RMSE,Validate R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,EarlyStop At,EarlyStopPatience,Learning rate,Batch size,Epochs,Loss function,Optimizer,Label mode,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
1,True,2020-February-13 10:43,ta/d_dataset_t1/aug_data,baseline,0.14481297026172715,0.369061,0.3255877827090325,0.14572369424293274,0.3687401,0.3175210106442337,0.14350772398427716,0.3667292,0.33024656214005577,,,222.1487534046173,30,5,0.0001,16,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
2,True,2020-February-13 10:59,ta/d_dataset_t1/aug_data,FCNN,0.13005557391287784,0.34610238671302795,0.3907481897706786,0.1275566772077507,0.3419294059276581,0.4020431978398774,0.12592197408732655,0.3403003513813019,0.4126289901563292,,,921.3485007286072,62,5,0.0001,16,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
3,True,2020-February-13 11:12,ta/d_dataset_t1/aug_data,lstm,0.09448502666617242,0.29138022661209106,0.5480200468658527,0.11414703359983773,0.3184296190738678,0.4633555025696329,0.11113635306781118,0.3141781985759735,0.4793675830246341,,,768.8289918899536,20,5,0.0001,16,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
4,True,2020-February-13 11:44,ta/d_dataset_t1/aug_data,gru,0.10478138405906094,0.3070623576641083,0.5009338052636305,0.1195791116498117,0.32670992612838745,0.4381511651086512,0.1169566718775296,0.3235568106174469,0.4530267190727174,,,1872.3025488853448,53,5,0.0001,16,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
5,True,2020-February-13 11:56,ta/d_dataset_t1/aug_data,bilstm,0.08640036466958029,0.2789444029331207,0.5847483761123244,0.11610624070748952,0.3212726712226868,0.4553088327910847,0.11397196822238607,0.3180718421936035,0.4657195534639834,,,688.1343636512756,11,5,0.0001,16,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
6,True,2020-February-13 12:21,ta/d_dataset_t1/aug_data,bigru,0.10359268293356907,0.30595624446868896,0.5079159200952148,0.11850607298157136,0.3258373737335205,0.44511007710463335,0.11481002965853733,0.3208926022052765,0.4627293977829377,,,1436.757033109665,25,5,0.0001,16,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
7,True,2020-February-13 12:34,ta/d_dataset_t1/aug_data,cnn_bilstm,0.09144900168823498,0.28675562143325806,0.5631139538642222,0.11388340119223538,0.3182266652584076,0.46429191590237595,0.1112924084697091,0.3142736852169037,0.47757978505462195,,,739.3466641902924,13,5,0.0001,16,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
