Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Validate Loss,Validate RMSE,Validate R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,EarlyStop At,EarlyStopPatience,Learning rate,Batch size,Epochs,Loss function,Optimizer,Label mode,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
1,True,2020-February-13 12:58,ta/d_dataset_t1/aug_data,baseline,0.19373047048931613,0.42732543,0.08881890647469702,0.19437481820379104,0.4266759,0.08665776168264472,0.19098973755901846,0.4227543,0.10229656622033212,,,53.09591627120972,7,5,0.001,16,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
2,True,2020-February-13 13:08,ta/d_dataset_t1/aug_data,FCNN,0.1169673349167176,0.3286274671554565,0.4484798730228853,0.1183434447038521,0.3294382393360138,0.4436090343805256,0.11585346786363815,0.32675886154174805,0.4573121406264575,,,556.7134656906128,37,5,0.001,16,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
3,True,2020-February-13 13:14,ta/d_dataset_t1/aug_data,lstm,0.0879282960402954,0.2799369990825653,0.5775311321156638,0.1161929720694647,0.32006973028182983,0.4542817187613556,0.1151198660141056,0.3188339173793793,0.4611528950581318,,,355.2775535583496,9,5,0.001,16,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
4,True,2020-February-13 13:26,ta/d_dataset_t1/aug_data,gru,0.09288377681931986,0.2885848879814148,0.5537025080593827,0.11636289117643996,0.3211060166358948,0.4538947118456289,0.11333910068619395,0.31670358777046204,0.469315709112609,,,654.2605049610137,18,5,0.001,16,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
5,True,2020-February-13 13:37,ta/d_dataset_t1/aug_data,bilstm,0.07488370643797211,0.25832462310791016,0.6360413056777854,0.1181884257453704,0.32193678617477417,0.4478966771670918,0.11506755664510634,0.31741467118263245,0.4622841161279364,,,632.4986436367035,10,5,0.001,16,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
6,True,2020-February-13 13:47,ta/d_dataset_t1/aug_data,bigru,0.090474336300508,0.28486865758895874,0.5646649966880285,0.1157750470392504,0.32064035534858704,0.4564181428198599,0.1121044913397252,0.3156884610652924,0.4761454118582658,,,584.6109812259674,10,5,0.001,16,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
7,True,2020-February-13 14:01,ta/d_dataset_t1/aug_data,cnn_bilstm,0.11592707437189945,0.32509109377861023,0.4525470895422517,0.1163325999155513,0.32457926869392395,0.4513992052919342,0.11404179125122176,0.32194650173187256,0.4633967407715819,,,747.4728760719299,13,5,0.001,16,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
8,True,2020-February-13 14:13,ta/d_dataset_t1/aug_data,cnn_bigru,0.10316478998418538,0.3054118752479553,0.5094398289836367,0.11256373097970104,0.3177439272403717,0.4683771620552189,0.1106695534160381,0.3153174817562103,0.4800589102824158,,,703.1922285556793,13,5,0.001,16,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
9,True,2020-February-13 14:18,ta/d_dataset_t1/aug_data,FCNN,0.10442529555415464,0.3100275993347168,0.5010831431001257,0.11819938557070367,0.3287040293216705,0.4421789730760536,0.11672641596475512,0.3270029723644257,0.4502896467188057,,,270.9093635082245,18,5,0.001,16,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
10,True,2020-February-13 14:23,ta/d_dataset_t1/aug_data,lstm,0.08429608893307572,0.274277925491333,0.5946398107801668,0.11756997765267935,0.3217097818851471,0.4489531627201152,0.11383963820084647,0.31640082597732544,0.4669109487569846,,,315.49476432800293,8,5,0.001,16,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
