Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Validate Loss,Validate RMSE,Validate R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,EarlyStop At,EarlyStopPatience,Learning rate,Batch size,Epochs,Loss function,Optimizer,Label mode,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
1,True,2020-February-14 11:41,ta/d_dataset_t1/aug_data,resnet,0.09947242199999999,0.30120525,0.526573308,0.11404274,0.32175040000000005,0.46409120000000004,0.111869871,0.31915915,0.476529176,,,369.8857772,39,10,0.001,64,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
2,True,2020-February-14 11:46,ta/d_dataset_t1/aug_data,bilstm,0.064888275,0.24030143,0.68158366,0.121619616,0.32575446399999997,0.43092300200000005,0.11739335,0.319291592,0.4523555,,,256.2480009,14,10,0.001,64,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
3,True,2020-February-14 11:51,ta/d_dataset_t1/aug_data,init_FCNN,0.112648612,0.321607828,0.46554376299999994,0.11493994099999999,0.32359033800000003,0.457815642,0.11312040300000001,0.321659565,0.467613555,,,250.3133385,57,10,0.001,64,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
4,True,2020-February-14 12:10,ta/d_dataset_t1/aug_data,baseline,0.161017962,0.38907966,0.24655771,0.162001064,0.38857284200000003,0.23958233199999998,0.159490515,0.386804014,0.252836059,,,48.96212769,24,10,0.001,64,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
5,True,2020-February-14 12:25,ta/d_dataset_t1/aug_data,cnn_bilstm,0.08720081,0.27996093,0.580026691,0.109224124,0.311519772,0.48493420299999995,0.10615407199999999,0.307163447,0.500118457,,,550.1069562000001,31,10,0.001,64,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
6,True,2020-February-14 12:04,ta/d_dataset_t1/aug_data,resnet_large,0.099024544,0.300803363,0.5281609429999999,0.114500097,0.322577208,0.46110791100000004,0.113156335,0.3211703,0.468101283,,,372.6263506,25,10,0.001,64,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
7,True,2020-February-14 12:09,ta/d_dataset_t1/aug_data,resnet_2_large,0.10177267699999999,0.305518568,0.51683149,0.115083602,0.324347407,0.457555903,0.11402573699999999,0.323050916,0.465366691,,,296.6561997,24,10,0.001,64,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
8,True,2020-February-14 12:43,ta/d_dataset_t1/aug_data,resnet_2_large,0.09680068233600017,0.29737281799316406,0.5377709447190088,0.11837952985278816,0.3283786475658417,0.4449338039807613,0.11748992736801837,0.32735100388526917,0.4500449546373211,,,399.86690974235535,32,10,0.001,64,1000,mse,AMSGRAD,5,,"(53228, 24, 39)","(53228, 17)",,
