Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Validate Loss,Validate RMSE,Validate R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,EarlyStop At,EarlyStopPatience,Learning rate,Batch size,Epochs,Loss function,Optimizer,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
0,True,2020-April-07 10:41,ta/m_dataset_p2/prep_data_13,baseline,0.129105263584988,0.3531337776771605,0.4903074772561201,0.1228580517592036,0.3437602893011625,0.5133522149340033,0.12277217876326033,0.3436128439574151,0.5159169765463825,0.3857091665267944,0.5923195682887963,57.78909707069397,26,10,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
1,True,2020-April-07 10:45,ta/m_dataset_p2/prep_data_13,FCNN,0.05020253376374671,0.22173482651393345,0.8026825501529572,0.04702543372245069,0.21472017406526253,0.8143146238449416,0.046592412960139086,0.21365576533446887,0.8178317271925946,0.2992865741252899,0.7268423247812663,214.43614435195926,45,10,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
3,True,2020-April-07 11:10,ta/m_dataset_p2/prep_data_13,LTRCNN,0.021486381781466758,0.12286060172705306,0.9381246834072516,0.026155230721765742,0.13948304574538334,0.9185631390526052,0.025571865294026053,0.13743382417832462,0.9213349412088524,0.2069683820009232,0.8328822740930155,1187.6971609592438,57,10,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
4,True,2020-April-07 11:18,ta/m_dataset_p2/prep_data_13,senet,0.009001152344139559,0.09377621591582556,0.9635176173589716,0.01825848219901608,0.13235172951391436,0.9260084197732388,0.018455256947138104,0.133151977911361,0.9254424906457334,0.20511971414089208,0.8512343450304928,477.5417041778565,39,10,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
5,True,2020-April-07 11:24,ta/m_dataset_p2/prep_data_13,senet_em,0.01166199854205317,0.1065318735441067,0.9531686990863484,0.018479864865513944,0.13325976350727256,0.9252205097842858,0.01818185101762921,0.13220593029580516,0.9267469735585592,0.19445233047008514,0.8507961943840691,298.7773647308349,24,10,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
6,True,2020-April-07 11:26,ta/d_dataset_3/prep_data_13,baseline,0.13010902215433187,0.35562184354088505,0.4834678928150695,0.12182375980003796,0.3432578223462625,0.5144594887393368,0.12188198130283845,0.34336391098337715,0.5121497319294159,0.2037450075149536,0.8496602642281301,110.54330778121948,24,10,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
7,True,2020-April-07 11:30,ta/d_dataset_3/prep_data_13,FCNN,0.057994766516726526,0.23796520173324154,0.7698598471389558,0.053484728213610194,0.2284733126944152,0.7876764621042864,0.053515545824222216,0.2286169211078673,0.7868112934767373,0.4043403267860413,0.5381306104913804,239.3417227268219,27,10,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
8,True,2020-April-07 11:51,ta/d_dataset_3/prep_data_13,bilstm,0.0157238567086758,0.12399093404210006,0.9373654677828156,0.021579359197117117,0.14442239075279584,0.912574169679472,0.02064922279736864,0.1413002409120091,0.9165955362299576,0.2567686140537262,0.8096137956861331,1155.9470801353455,36,10,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
9,True,2020-April-07 12:13,ta/d_dataset_3/prep_data_13,LTRCNN,0.02715191103576285,0.14082000801710018,0.91847291521521,0.02826880165386418,0.14408083210439313,0.91344719252431,0.028557007699922456,0.14509402434892235,0.9121180876798152,0.14490102231502533,0.9270141463237768,1223.221061706543,31,10,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
10,True,2020-April-07 12:31,ta/d_dataset_3/prep_data_13,senet,0.010123316067465605,0.09950108911125104,0.9592541739428796,0.020193117615644816,0.13920241441465547,0.9181774499305814,0.02012404135287324,0.13888882806345665,0.9185425395846386,0.11779767274856567,0.9596214097067548,1038.8059725761414,45,10,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
