Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Validate Loss,Validate RMSE,Validate R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,EarlyStop At,EarlyStopPatience,Learning rate,Batch size,Epochs,Loss function,Optimizer,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
0,True,2020-April-08 13:30,ta/m_dataset_p2/prep_data_13,baseline,0.126329071,0.350364293,0.495187909,0.12074915300000001,0.342035126,0.513531747,0.12081347699999999,0.34213155100000003,0.5166559310000001,0.385709167,0.592319568,23.17449522,10,3,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
18,True,2020-April-08 15:10,ta/m_dataset_p2/prep_data_13,senet,0.016809027,0.127796864,0.93255137,0.019649353,0.137688692,0.919830519,0.019551086999999998,0.137277013,0.921080418,0.127545774,0.9521959729999999,163.46627880000003,12,3,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
19,True,2020-April-08 15:17,ta/d_dataset_3/prep_data_13,senet,0.016735313999999998,0.127579495,0.932955115,0.020326542,0.139955546,0.917867106,0.021048817999999997,0.14230516599999998,0.914854332,0.142226443,0.926076885,321.1047297,13,3,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
19,True,2020-April-08 15:44,ta/d_dataset_3/prep_data_13,senet,0.015037298000000001,0.12101631300000001,0.940010033,0.020174299,0.139381861,0.9182731140000001,0.020296671999999998,0.139659515,0.918073989,0.142226443,0.926076885,515.5776896000001,22,3,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
19,True,2020-April-08 16:04,ta/d_dataset_3/prep_data_13,senet,0.020565178,0.141378026,0.9179109790000001,0.021628212999999997,0.14452513,0.9127937359999999,0.021488924,0.143999609,0.913421009,0.142226443,0.926076885,361.84930660000003,12,3,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
19,True,2020-April-08 16:33,ta/d_dataset_3/prep_data_13,senet,0.0131675,0.11333206800000001,0.947435618,0.019532145,0.13712090400000002,0.921005486,0.019405226,0.13654972699999998,0.9217075220000001,0.142226443,0.926076885,1137.778474,38,5,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
19,True,2020-April-08 16:55,ta/d_dataset_3/prep_data_13,senet,0.015298445,0.12197431199999999,0.9388431279999999,0.01935851,0.136448347,0.921653327,0.019708727,0.137617056,0.9200622509999999,0.142226443,0.926076885,650.7706146,24,4,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
19,True,2020-April-08 18:57,ta/d_dataset_3/prep_data_13,senet,0.016121383,0.125310494,0.9354881629999999,0.019736159,0.137894596,0.920053226,0.019767217,0.13801265,0.919840305,0.142226443,0.926076885,592.3197153,20,4,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
19,True,2020-April-08 19:40,ta/d_dataset_3/prep_data_13,senet,0.011486493,0.10585141099999999,0.953813728,0.019102971,0.135432829,0.92273983,0.019313191,0.13614968800000002,0.922012281,0.142226443,0.926076885,900.1540141,32,4,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
19,True,2020-April-08 19:59,ta/d_dataset_3/prep_data_13,senet,0.014806253,0.12005206199999999,0.9409212459999999,0.02015548,0.139292684,0.918338249,0.020136528,0.13904396900000002,0.9186665629999999,0.142226443,0.926076885,672.9101985,23,4,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
